State,Population,Area
Uttar Pradesh,19.98 Cr,240-928 Km2
Maharashtra,11.24 Cr,307-713 Km2
Bihar,10.41 Cr,94-163 Km2	
West Bengal,9.13 Cr,88-752 Km2
Andhra Pradesh,8.46 Cr,275-045 Km2	
Madhya Pradesh,7.26 Cr,308-252 Km2
Tamil Nadu,7.21 Cr,130-060 Km2	
Rajasthan,6.85 Cr,342-239 Km2	
Karnataka,6.11 Cr,191-791 Km2	
Gujarat,6.04 Cr,196-244 Km2	
Odisha,4.2 Cr,155-707 Km2	
Kerala,3.34 Cr,38-852 Km2
Jharkhand,3.3 Cr,79-716 Km2	
Assam,3.12 Cr,78-438 Km2
Punjab,2.77 Cr,50-362 Km2
Chhattisgarh,2.55 Cr,135-192 Km2
Hariyana,2.54 Cr,44-212 Km2
Delhi,1.68 Cr,1-483 Km2
Jammu and Kashmir,1.25 Cr,222-236 Km2
Uttarakhand,1.01 Cr,53-483 Km2
Himachal Pradesd,68.6 Lacs,55-673 Km2
Tripura,36.7 Lacs,10-486 Km2
Meghalaya,29.7 Lacs,22-429 Km2
Manipur,28.6 Lacs,22-327 Km2
Nagaland,19.8 Lacs,16-579 Km2
Goa,14.6 Lacs,3-702 Km2
Arunachal Pradesh,13.8 Lacs,83-743 Km2
Puducherry,12.5 Lacs,490 Km2
Mizoram,11 Lac,	21-081 Km2
Chandigarh,10.6 Lacs,114 Km2
Sikkim,6.1 Lacs,7-096 Km2
Andaman and Nicobar,3.8 Lacs,8-249 Km2
Dadra and Nagar Haveli,3.4 Lacs,491 Km2
Daman and Diu,2.4 Lacs,111 Km2	
Lakshadweep,64.5 K,30 Km2